usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,10002,Manhattan,Lower East Side,10009,Manhattan,Lower East Side,02/03/2020,02/03/2020,32.4,5.3,0.52,50,1
Subscriber,10002,Manhattan,Lower East Side,10278,Manhattan,Lower Manhattan,19/10/2020,19/10/2020,42.9,2.2,0,0,1
Customer,10002,Manhattan,Lower East Side,11211,Brooklyn,Greenpoint,07/07/2020,07/07/2020,78.7,3.6,0,10,5
Subscriber,10002,Manhattan,Lower East Side,10038,Manhattan,Lower Manhattan,14/09/2019,14/09/2019,60.9,2.8,0.26,0,4
Subscriber,10002,Manhattan,Lower East Side,10038,Manhattan,Lower Manhattan,26/10/2020,26/10/2020,51.8,3.9,0.03,20,8
Subscriber,10002,Manhattan,Lower East Side,10278,Manhattan,Lower Manhattan,11/09/2019,11/09/2019,73.9,4,0,10,9
Subscriber,10002,Manhattan,Lower East Side,11238,Brooklyn,Central Brooklyn,01/07/2020,01/07/2020,75,4.3,0.43,20,3
Subscriber,10002,Manhattan,Lower East Side,10017,Manhattan,Gramercy Park and Murray Hill,14/12/2020,14/12/2020,56.8,4.6,0,20,7
Subscriber,10002,Manhattan,Lower East Side,10278,Manhattan,Lower Manhattan,21/09/2020,21/09/2020,65.8,7.4,0,10,5
Subscriber,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,09/09/2020,09/09/2020,82,4,0,10,274
Subscriber,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,23/12/2019,23/12/2019,44.4,7,0.18,10,145
Subscriber,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,27/07/2019,27/07/2019,77,2.9,0.01,0,169
Customer,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,07/05/2019,07/05/2019,59.1,3.2,0,30,5
Subscriber,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,23/09/2020,23/09/2020,68.4,3.3,0,30,13
